Filename,RedRatio
A103_0_start_T2_0.png,33.523995535714285
A103_0_start_T2_1.png,33.001833545918366
A103_0_start_T2_2.png,27.371651785714285
A103_0_start_T2_3.png,36.866230867346935
A103_0_start_T2_4.png,45.3922193877551
A15_0_start_T2_0.png,12.703284438775512
A15_0_start_T2_1.png,15.102838010204081
A15_0_start_T2_2.png,37.51195790816326
A15_0_start_T2_3.png,15.71667729591837
A15_0_start_T2_4.png,30.51259566326531
A25_0_start_T2_0.png,38.91900510204081
A25_0_start_T2_1.png,58.06162308673469
A25_0_start_T2_2.png,23.244180484693878
A25_0_start_T2_3.png,25.67761479591837
A25_0_start_T2_4.png,24.964126275510203
A26_0_start_T2_0.png,26.96109693877551
A26_0_start_T2_1.png,47.13608099489796
A26_0_start_T2_2.png,48.07676977040816
A26_0_start_T2_3.png,29.35267857142857
A26_0_start_T2_4.png,50.982541454081634
A27_0_start_T2_0.png,16.8765943877551
A27_0_start_T2_1.png,18.429129464285715
A27_0_start_T2_2.png,17.68574617346939
A27_0_start_T2_3.png,22.594467474489797
A27_0_start_T2_4.png,26.45687181122449
A43_0_start_T2_0.png,27.493223852040817
A43_0_start_T2_1.png,34.98086734693878
A43_0_start_T2_2.png,30.777662627551024
A43_0_start_T2_3.png,25.273038903061224
A43_0_start_T2_4.png,55.115991709183675
A44_0_start_T2_0.png,26.891342474489793
A44_0_start_T2_1.png,52.25605867346938
A44_0_start_T2_2.png,17.37284757653061
A44_0_start_T2_3.png,22.291533801020407
A44_0_start_T2_4.png,24.254623724489797
A48_0_start_T2_0.png,33.40840242346938
A48_0_start_T2_1.png,36.007254464285715
A48_0_start_T2_2.png,55.982940051020414
A48_0_start_T2_3.png,58.21906887755102
A48_0_start_T2_4.png,56.26195790816326
A4_0_start_T2_0.png,16.44013073979592
A4_0_start_T2_1.png,22.642299107142858
A4_0_start_T2_2.png,16.852678571428573
A4_0_start_T2_3.png,15.449617346938776
A4_0_start_T2_4.png,32.19467474489796
A51_0_start_T2_0.png,36.62906568877551
A51_0_start_T2_1.png,31.421396683673468
A51_0_start_T2_2.png,19.714604591836736
A51_0_start_T2_3.png,43.8297193877551
A51_0_start_T2_4.png,30.28140943877551
A53_0_start_T2_0.png,38.49649234693878
A53_0_start_T2_1.png,27.834024234693878
A53_0_start_T2_2.png,28.976004464285715
A53_0_start_T2_3.png,37.125318877551024
A53_0_start_T2_4.png,25.34080038265306
A55_0_start_T2_0.png,30.596301020408163
A55_0_start_T2_1.png,20.549665178571427
A55_0_start_T2_2.png,45.48190369897959
A55_0_start_T2_3.png,25.936702806122447
A55_0_start_T2_4.png,25.6038743622449
A5_0_start_T2_0.png,17.797353316326532
A5_0_start_T2_1.png,63.18359375
A5_0_start_T2_2.png,28.07517538265306
A5_0_start_T2_3.png,31.301817602040817
A5_0_start_T2_4.png,46.326929209183675
A63_0_start_T2_0.png,37.007732780612244
A63_0_start_T2_1.png,24.35028698979592
A63_0_start_T2_2.png,31.98939732142857
A63_0_start_T2_3.png,39.80189732142857
A63_0_start_T2_4.png,25.26108099489796
A82_0_start_T2_0.png,20.30253507653061
A82_0_start_T2_1.png,17.64190051020408
A82_0_start_T2_2.png,31.19419642857143
A82_0_start_T2_3.png,37.80293367346938
A82_0_start_T2_4.png,16.370376275510203
A99_0_start_T2_0.png,16.60754145408163
A99_0_start_T2_1.png,23.148517219387756
A99_0_start_T2_2.png,24.244658801020407
A99_0_start_T2_3.png,32.46372767857143
A99_0_start_T2_4.png,17.434630102040817
A9_0_start_T2_0.png,47.769850127551024
A9_0_start_T2_1.png,43.736049107142854
A9_0_start_T2_2.png,25.980548469387756
A9_0_start_T2_3.png,24.832589285714285
A9_0_start_T2_4.png,31.289859693877553
